Sample_ID,gridage,gridcrust,gridsubcrust,gridlith,gridsublith,gridsed,gridsubsed,gridserp,gridsubserp,Plot_unit,Rock_Types,Age_Min,Age_Max,vol
0,1.4999873460755786,3.533859447280432e-06,7.040587376644613e-05,1.00192612193269e-05,1.00192612193269e-05,1.993983914871933e-06,3.7015011521269924e-05,5.385804607923228e-06,5.943900395626355e-05,Back arc basin,basaltic & hypabyssal: basic,Pliocene,Cretaceous,1
0,36.8928108215332,7.681555195975856e-06,2.140059181235421e-05,6.23516879521521e-06,6.23516879521521e-06,8.914628760578772e-06,6.02015482822304e-06,4.84058810785139e-06,3.124114362545169e-05,Te Raupua,basaltic,Miocene,Cretaceous,1
-1,9.681650362684929,6.012154471793417e-06,1.7714249920419368e-05,5.164385092070736e-06,5.164385092070736e-06,1.1343558981025128e-05,6.3681311252114645e-06,2.721670458357388e-06,6.01795983529481e-06,Back arc basin,basaltic,Miocene,Cretaceous,1
0,2.7520393894116166,4.951772679417643e-06,0.00010792875486135413,4.794771444008935e-06,4.794771444008935e-06,6.86801898058898e-06,2.267435186245986e-05,3.620187368638026e-07,2.563995996509974e-05,Back arc basin,basaltic,Eocene,Eocene,1
0,13.0,6.19774664301076e-06,7.446489972400222e-05,6.699808025355422e-06,6.699808025355422e-06,1.0880006811930796e-05,3.798500856430644e-05,4.952387255616487e-06,4.693931253477499e-05,Arc,rhyolitic & siliceous,Miocene,Cretaceous,1
0,30.291301926270904,7.580207704832846e-06,3.30117304035533e-05,5.619736793407599e-06,5.619736793407599e-06,4.9423647396906745e-06,1.0745761686908077e-05,3.6919964841836824e-06,5.8194600567792124e-05,Horomaka,basaltic & hypabyssal: basic,Cretaceous,Cretaceous,1
0,26.72596769509923,7.703261871938594e-06,1.590387721414588e-05,5.972549843136221e-06,5.972549843136221e-06,8.06982734502526e-06,3.4298013957507146e-06,4.1784337023273115e-06,1.426929397411207e-05,Horomaka,basaltic,Eocene,Paleocene,1
0,23.60880470275879,7.3649809131234435e-06,1.4060010814591367e-05,4.962710370999115e-06,4.962710370999115e-06,4.930602699459996e-06,5.885461088401831e-06,2.089551425043487e-06,8.744015609133655e-06,Horomaka,andesitic & altered volcanic,Cretaceous,Permian,1
-1,25.536685732726674,7.560091966624031e-06,2.879674910083836e-05,6.7260939234532125e-06,6.7260939234532125e-06,8.005568088327916e-06,1.4951234986318979e-05,4.977616979401404e-06,5.497392745445979e-05,Allochthon,basaltic & lava flow,Miocene,Cretaceous,1
-1,25.262193844375524,7.809619091858623e-06,1.5701713891758118e-05,5.7796323744696565e-06,5.7796323744696565e-06,7.5352590381070035e-06,4.477616585063514e-06,3.931542905047537e-06,1.4645660130145084e-05,Te Raupua,basaltic,Miocene,Cretaceous,1
